"Yaş","Gelir","Harcamalar","Kredi_Skoru","İnternet_Aboneliği","Yorum","Puan"
56,39930,21657,733,3,"Güzel hizmet, ama daha iyi olabilir.",326
69,33285,35347,622,19,"Harika ürünler!",889
46,65863,15314,721,10,"Ürünler kaliteli, ama fiyatlar yüksek.",481
32,46704,28840,740,14,"Yine de memnun kaldım.",770
60,48705,18662,683,19,"Yine de memnun kaldım.",803
25,30555,27754,705,11,"Beklentilerimin altında.",930
38,51323,17629,663,21,"Güzel hizmet, ama daha iyi olabilir.",946
56,96922,21324,724,6,"Beklediğimden daha iyi.",376
36,83915,35247,651,19,"Güzel hizmet, ama daha iyi olabilir.",651
40,40619,27558,647,14,"Kaliteli, ama fiyat biraz yüksek.",14
28,89274,26494,660,8,"İnternetten daha iyi bekliyordum.",899
28,51225,29943,616,2,"Harika ürünler!",695
41,56739,16692,639,22,"Harika ürünler!",480
53,77708,19218,674,18,"Güzel hizmet, ama daha iyi olabilir.",15
57,83019,21746,688,22,"Yine de memnun kaldım.",732
41,37373,25372,668,4,"Yine de memnun kaldım.",901
20,65281,29617,684,3,"Beklediğimden daha iyi.",574
39,50187,22631,625,2,"Kaliteli, ama fiyat biraz yüksek.",752
19,97863,11472,639,24,"Harika ürünler!",484
41,69220,36955,695,4,"Beklediğimden daha iyi.",278
61,37642,24599,716,18,"Yine de memnun kaldım.",332
47,85556,14872,735,11,"Beklediğimden daha iyi.",939
55,63760,37547,672,9,"İnternetten daha iyi bekliyordum.",256
19,68192,20573,644,8,"Yine de memnun kaldım.",184
38,34381,23691,616,21,"Hizmet çok iyi, teşekkürler.",587
50,49558,21482,676,8,"Kaliteli, ama fiyat biraz yüksek.",26
29,60782,14753,736,5,"Ürünler kaliteli, ama fiyatlar yüksek.",24
39,34782,11833,690,13,"Harika ürünler!",853
61,84712,15928,705,7,"Beklentilerimin altında.",61
42,49462,18645,700,21,"İnternetten daha iyi bekliyordum.",993
66,90030,16816,702,5,"Yeterli bir deneyim.",657
44,98519,27124,623,13,"Ürünler kaliteli, ama fiyatlar yüksek.",232
59,86411,17256,672,20,"Beklentilerimin altında.",463
45,85206,28764,720,16,"Yine de memnun kaldım.",348
33,76950,20549,705,14,"Yeterli bir deneyim.",285
32,32523,25062,738,5,"Güzel hizmet, ama daha iyi olabilir.",413
64,90926,19635,634,23,"Güzel hizmet, ama daha iyi olabilir.",595
68,39677,30064,735,19,"İnternetten daha iyi bekliyordum.",686
61,45089,19940,616,4,"Güzel hizmet, ama daha iyi olabilir.",405
69,34581,12401,739,24,"Yeterli bir deneyim.",380
20,41907,23111,692,22,"Yeterli bir deneyim.",169
54,35609,21363,708,24,"Kaliteli, ama fiyat biraz yüksek.",289
68,81153,22432,649,11,"Ürünler kaliteli, ama fiyatlar yüksek.",958
24,80539,33561,713,2,"Harika ürünler!",515
38,74143,28390,623,13,"Hizmet çok iyi, teşekkürler.",286
26,52936,39739,636,16,"Beklediğimden daha iyi.",306
56,80182,19978,610,9,"Güzel hizmet, ama daha iyi olabilir.",561
35,43163,27793,698,16,"İnternetten daha iyi bekliyordum.",781
21,89758,28146,654,7,"Güzel hizmet, ama daha iyi olabilir.",7
42,76057,10909,626,16,"Beklediğimden daha iyi.",356
31,42537,10760,666,13,"Ürünler kaliteli, ama fiyatlar yüksek.",580
67,52419,33022,601,5,"Kaliteli, ama fiyat biraz yüksek.",903
26,72578,15612,667,15,"Yeterli bir deneyim.",138
43,30834,13240,745,7,"Kaliteli, ama fiyat biraz yüksek.",510
19,62214,37265,747,18,"Yine de memnun kaldım.",247
37,32413,10530,662,20,"Güzel hizmet, ama daha iyi olabilir.",540
45,39505,19551,671,23,"Harika ürünler!",182
64,32105,38394,729,2,"Yine de memnun kaldım.",724
24,98104,20219,682,8,"Ürünler kaliteli, ama fiyatlar yüksek.",422
61,88408,26216,641,10,"Güzel hizmet, ama daha iyi olabilir.",396
25,67679,12560,706,10,"Yine de memnun kaldım.",831
64,95131,28561,627,11,"Güzel hizmet, ama daha iyi olabilir.",304
52,94280,15103,704,21,"İnternetten daha iyi bekliyordum.",18
31,45762,34090,711,21,"Ürünler kaliteli, ama fiyatlar yüksek.",382
34,88703,27921,732,8,"Hizmet çok iyi, teşekkürler.",962
53,93079,19465,614,16,"Yeterli bir deneyim.",225
67,51577,12781,709,16,"Beklentilerimin altında.",229
57,31214,27330,672,17,"Yeterli bir deneyim.",850
21,78114,15257,689,6,"Yeterli bir deneyim.",607
19,93230,35874,636,18,"Yine de memnun kaldım.",494
23,62980,31481,742,17,"Ürünler kaliteli, ama fiyatlar yüksek.",483
59,97194,28895,603,12,"Güzel hizmet, ama daha iyi olabilir.",626
21,67792,12188,683,15,"Kaliteli, ama fiyat biraz yüksek.",358
46,75807,16063,748,7,"Beklentilerimin altında.",691
