"Yaş","Gelir","Harcamalar","Kredi_Skoru","İnternet_Aboneliği","Yorum"
61,37642,24599,716,18,"Yine de memnun kaldım."
47,85556,14872,735,11,"Beklediğimden daha iyi."
55,63760,37547,672,9,"İnternetten daha iyi bekliyordum."
19,68192,20573,644,8,"Yine de memnun kaldım."
38,34381,23691,616,21,"Hizmet çok iyi, teşekkürler."
50,49558,21482,676,8,"Kaliteli, ama fiyat biraz yüksek."
29,60782,14753,736,5,"Ürünler kaliteli, ama fiyatlar yüksek."
39,34782,11833,690,13,"Harika ürünler!"
61,84712,15928,705,7,"Beklentilerimin altında."
42,49462,18645,700,21,"İnternetten daha iyi bekliyordum."
66,90030,16816,702,5,"Yeterli bir deneyim."
44,98519,27124,623,13,"Ürünler kaliteli, ama fiyatlar yüksek."
59,86411,17256,672,20,"Beklentilerimin altında."
45,85206,28764,720,16,"Yine de memnun kaldım."
33,76950,20549,705,14,"Yeterli bir deneyim."
